exp,age,income,ownrent,selfemp,incomesq
73.18000030517578,22,1.5,0,0,2.25
32.779998779296875,21,1.5,0,0,2.25
63.91999816894531,30,1.5099999904632568,0,0,2.280099868774414
108.61000061035156,20,1.649999976158142,0,0,2.7224998474121094
105.04000091552734,21,1.7000000476837158,0,0,2.890000104904175
165.85000610351562,30,1.850000023841858,0,0,3.4225001335144043
42.619998931884766,35,1.909999966621399,1,0,3.648099899291992
218.52000427246094,34,2,1,0,4
319.489990234375,36,2,0,0,4
93.19999694824219,24,2,0,0,4
186.35000610351562,27,2,0,0,4
42.689998626708984,22,2.0299999713897705,0,0,4.120899677276611
93.11000061035156,27,2.200000047683716,0,0,4.840000152587891
27.780000686645508,27,2.2799999713897705,0,0,5.198400020599365
43.34000015258789,35,2.3499999046325684,1,0,5.5224995613098145
83.08000183105469,26,2.3499999046325684,0,0,5.5224995613098145
150.7899932861328,29,2.369999885559082,1,0,5.616899490356445
49.560001373291016,29,2.4000000953674316,0,0,5.760000228881836
68.37999725341797,43,2.4000000953674316,0,0,5.760000228881836
41.189998626708984,26,2.4000000953674316,0,0,5.760000228881836
9.850000381469727,33,2.4200000762939453,0,0,5.856400489807129
78.87000274658203,29,2.450000047683716,1,0,6.002500057220459
308.04998779296875,31,2.4600000381469727,1,0,6.051599979400635
552.719970703125,21,2.4700000286102295,1,0,6.100900173187256
92,23,2.5,0,0,6.25
137.8699951171875,31,2.5399999618530273,0,0,6.451599597930908
101.68000030517578,33,2.549999952316284,0,0,6.502499580383301
53.650001525878906,23,2.5899999141693115,0,0,6.708099365234375
9.579999923706055,38,2.5999999046325684,0,0,6.7599992752075195
65.25,55,2.640000104904175,1,0,6.969600677490234
79.51000213623047,22,2.700000047683716,0,0,7.2900004386901855
129.3699951171875,37,2.7200000286102295,0,0,7.39840030670166
215.07000732421875,26,2.799999952316284,0,0,7.839999675750732
34.130001068115234,24,2.799999952316284,0,0,7.839999675750732
98.45999908447266,25,2.880000114440918,0,0,8.294400215148926
169.88999938964844,33,3,0,0,9
222.5399932861328,24,3,0,0,9
95.80000305175781,25,3,0,0,9
310.94000244140625,26,3,1,0,9
258.54998779296875,36,3.049999952316284,0,0,9.302499771118164
642.469970703125,25,3.069999933242798,0,0,9.42490005493164
810.3900146484375,33,3.180000066757202,0,0,10.11240005493164
335.42999267578125,41,3.200000047683716,1,0,10.24000072479248
417.8299865722656,29,3.200000047683716,0,0,10.24000072479248
52.58000183105469,28,3.200000047683716,0,0,10.24000072479248
56.150001525878906,33,3.25,0,0,10.5625
344.4700012207031,27,3.5,0,0,12.25
541.29998779296875,43,3.5399999618530273,1,0,12.531599998474121
234.0500030517578,25,3.5999999046325684,0,0,12.959999084472656
292.6600036621094,24,3.75,0,0,14.0625
777.82000732421875,37,3.799999952316284,1,0,14.4399995803833
104.54000091552734,42,3.9000000953674316,0,0,15.210000991821289
256.6600036621094,31,3.950000047683716,1,0,15.602499961853027
40.83000183105469,28,3.9600000381469727,0,0,15.681600570678711
248.72000122070312,40,4,1,0,16
170.63999938964844,36,4,0,0,16
15,34,4.5,1,0,20.25
502.20001220703125,30,4.510000228881836,0,0,20.34010124206543
124.9800033569336,38,4.519999980926514,1,0,20.43039894104004
405.3500061035156,28,4.599999904632568,1,0,21.15999984741211
1898.030029296875,34,4.800000190734863,0,0,23.040000915527344
451.20001220703125,26,5,1,0,25
37.58000183105469,43,5.139999866485596,1,0,26.419599533081055
251.52000427246094,46,5.5,1,0,30.25
1532.77001953125,40,5.5,1,0,30.25
568.77001953125,37,5.699999809265137,1,0,32.48999786376953
306.0299987792969,41,6,0,1,36
474.1499938964844,33,6,1,0,36
644.83001708984375,28,7,1,0,49
235.57000732421875,41,7.239999771118164,1,0,52.41759490966797
546.5,32,9.789999961853027,1,0,95.84410095214844
548.030029296875,40,10,1,1,100
