year,vio,mur,rob,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,stateid,shall
77,414.3999938964844,14.199999809265137,96.80000305175781,83,8.384873390197754,55.12290573120117,18.17441177368164,3.780402898788452,9.563148498535156,0.07455240190029144,1,0
78,419.1000061035156,13.300000190734863,99.0999984741211,94,8.35210132598877,55.1436653137207,17.99407958984375,3.8318378925323486,9.932000160217285,0.07556673139333725,1,0
79,413.29998779296875,13.199999809265137,109.5,144,8.3295745849609375,55.13585662841797,17.839336395263672,3.8662478923797607,9.87702751159668,0.07624532282352448,1,0
80,448.5,13.199999809265137,132.10000610351562,141,8.40838623046875,54.9125862121582,17.73419761657715,3.9003679752349854,9.5414276123046875,0.07682880759239197,1,0
81,470.5,11.899999618530273,126.5,149,8.483434677124023,54.92512512207031,17.673715591430664,3.9185309410095215,9.548351287841797,0.07718657702207565,1,0
82,447.70001220703125,10.600000381469727,112,183,8.513999938964844,54.896209716796875,17.51051902770996,3.925229072570801,9.47891902923584,0.07731851190328598,1,0
83,416,9.199999809265137,98.4000015258789,215,8.545607566833496,54.83936309814453,17.350893020629883,3.934103012084961,9.782999992370605,0.07749330997467041,1,0
84,431.20001220703125,9.399999618530273,96.0999984741211,243,8.559511184692383,54.77875518798828,17.119022369384766,3.9518260955810547,10.357199668884277,0.07784241437911987,1,0
85,457.5,9.800000190734863,105.4000015258789,256,8.562801361083984,54.678993225097656,16.858745574951172,3.972520112991333,10.725857734680176,0.07825004309415817,1,0
86,558,10.100000381469727,111.5999984741211,267,8.566520690917969,54.517906188964844,16.576091766357422,3.9915618896484375,11.091617584228516,0.07862512767314911,1,0
87,559.20001220703125,9.300000190734863,112.19999694824219,283,8.592103004455566,54.38770294189453,16.28229522705078,4.015256881713867,11.323823928833008,0.079091876745224,1,0
88,558.5999755859375,9.899999618530273,117.80000305175781,307,8.618144035339355,54.235050201416016,15.992701530456543,4.023848056793213,11.654964447021484,0.07926109433174133,1,0
89,590.79998779296875,10.199999809265137,133.89999389648438,300,8.638031005859375,54.06622314453125,15.675232887268066,4.030223846435547,11.963896751403809,0.07938668876886368,1,0
90,708.5999755859375,11.600000381469727,143.6999969482422,328,8.699673652648926,56.070159912109375,15.38070297241211,4.048508167266846,12.063983917236328,0.07977356016635895,1,0
91,844.20001220703125,11.5,152.8000030517578,370,8.77164077758789,55.97352600097656,15.183138847351074,4.091024875640869,12.08781623840332,0.08061132580041885,1,0
92,871.70001220703125,11,164.89999389648438,394,8.877968788146973,55.80951690673828,15.025575637817383,4.13926887512207,12.398019790649414,0.08156195282936096,1,0
