ahe,year,bachelor,female,age
38.46154022216797,2008,1,0,33
12.5,2008,1,0,31
9.857142448425293,2008,0,0,30
8.241758346557617,2008,0,0,30
17.788461685180664,2008,0,0,31
10.09615421295166,2008,0,1,29
17.788461685180664,2008,1,0,26
30.384614944458008,2008,1,0,28
23.668638229370117,2008,1,0,30
12.019230842590332,2008,1,1,25
15.865385055541992,2008,0,0,26
11.84615421295166,2008,0,0,25
28.846153259277344,2008,0,0,30
9.440909385681152,2008,0,0,31
20.19230842590332,2008,0,0,32
13.461538314819336,2008,0,1,31
13.034188270568848,2008,1,1,27
25.64102554321289,2008,1,1,31
18.218624114990234,2008,1,1,32
8.753846168518066,2008,1,1,27
12.019230842590332,2008,1,0,29
22.435897827148438,2008,0,0,34
14.423076629638672,2008,0,1,26
13.076923370361328,2008,0,0,26
9.393750190734863,2008,0,0,28
10.1796875,2008,1,1,25
29.80769157409668,2008,1,0,33
32.0512809753418,2008,0,0,34
8.65384578704834,2008,0,0,25
7.211538314819336,2008,0,1,32
8.01282024383545,2008,1,0,25
15.625,2008,0,1,30
12.980769157409668,2008,0,1,29
28.846153259277344,2008,1,0,29
34.61538314819336,2008,0,0,26
7.692307472229004,2008,0,0,30
16.826923370361328,2008,0,0,27
19.711538314819336,2008,0,0,32
19.764957427978516,2008,0,1,27
15.384614944458008,2008,1,1,27
13.461538314819336,2008,0,1,26
8.894230842590332,2008,0,0,27
19.740385055541992,2008,0,0,31
12.47401237487793,2008,0,1,32
16.827884674072266,2008,1,0,25
25.64102554321289,2008,1,0,34
17.30769157409668,2008,0,1,30
17.5213680267334,2008,1,0,27
37.5,2008,1,1,27
32.69230651855469,2008,1,0,32
27.884614944458008,2008,1,1,29
19.230770111083984,2008,1,0,33
20.19230842590332,2008,0,0,34
26.44230842590332,2008,1,1,30
21.634614944458008,2008,1,0,33
22.115385055541992,2008,1,0,28
24.038461685180664,2008,1,0,32
33.653846740722656,2008,1,1,34
23.55769157409668,2008,1,1,33
15.384614944458008,2008,1,1,34
17.30769157409668,2008,1,0,33
18.269229888916016,2008,0,0,28
4.807692527770996,2008,1,0,29
17.788461685180664,2008,1,1,28
38.46154022216797,2008,1,0,31
40.598289489746094,2008,1,0,34
15,2008,1,0,34
21.634614944458008,2008,0,0,34
15.865385055541992,2008,0,1,29
20.673076629638672,2008,0,0,31
21.634614944458008,2008,1,1,31
6.92307710647583,2008,1,1,28
17.788461685180664,2008,1,1,30
10.787992477416992,2008,1,1,28
15.560769081115723,2008,1,0,34
16.105770111083984,2008,0,0,27
11.094674110412598,2008,1,0,31
10.741138458251953,2008,1,0,29
16.346153259277344,2008,0,1,27
15.384614944458008,2008,0,1,26
13.461538314819336,2008,0,1,30
17.788461685180664,2008,1,1,33
16.17994499206543,2008,0,1,32
18.531469345092773,2008,0,0,32
19.230770111083984,2008,1,1,28
28.846153259277344,2008,0,0,30
7.211538314819336,2008,0,0,27
11.538461685180664,2008,0,0,27
11,2008,0,0,30
12.5,2008,0,0,34
10.475708961486816,2008,1,1,28
26.62721824645996,2008,1,0,30
16.483516693115234,2008,0,1,34
4.807692527770996,2008,0,1,29
13.37792682647705,2008,0,0,26
50.480770111083984,2008,1,1,34
19.230770111083984,2008,1,1,32
9.615385055541992,2008,1,0,32
22.22222137451172,2008,1,1,26
15,2008,0,0,34
11.538461685180664,2008,0,1,28
13.15384578704834,2008,0,0,34
28.846153259277344,2008,0,0,28
9.7615385055542,2008,1,0,28
43.269229888916016,2008,1,0,32
18.491125106811523,2008,0,0,25
24.038461685180664,2008,1,0,30
30.288461685180664,2008,1,0,29
26.44230842590332,2008,1,0,30
18.076923370361328,2008,1,0,34
38.46154022216797,2008,1,0,32
38.46154022216797,2008,1,0,32
32.0512809753418,2008,1,1,30
13.621794700622559,2008,0,1,27
16.826923370361328,2008,0,0,33
46.153846740722656,2008,0,0,32
45,2008,1,0,31
53.07692337036133,2008,1,0,33
20.673076629638672,2008,1,0,26
24.052000045776367,2008,1,0,26
21.25506019592285,2008,1,0,29
4.807692527770996,2008,1,0,30
20.19230842590332,2008,1,1,31
22.22222137451172,2008,1,0,30
40.38461685180664,2008,1,0,34
12.937063217163086,2008,1,0,34
8.01282024383545,2008,0,1,30
45.67307662963867,2008,1,0,33
12.019230842590332,2008,0,1,29
19.230770111083984,2008,0,0,33
21.634614944458008,2008,0,0,30
14.369231224060059,2008,0,0,33
20.19230842590332,2008,0,0,28
24.038461685180664,2008,1,0,28
36.53845977783203,2008,1,1,34
15.384614944458008,2008,1,1,31
9.615385055541992,2008,1,0,30
21.9780216217041,2008,1,1,31
17.30769157409668,2008,1,0,32
24.038461685180664,2008,0,0,33
11.058653831481934,2008,0,0,33
8.79120922088623,2008,0,0,26
9.84615421295166,2008,1,0,26
34.855770111083984,2008,0,0,32
12.286324501037598,2008,0,1,25
22.649572372436523,2008,0,0,34
19.711538314819336,2008,1,1,31
14.00560188293457,2008,0,0,31
26.923076629638672,2008,1,1,32
28.846153259277344,2008,0,0,34
24.038461685180664,2008,0,1,28
11.979166984558105,2008,0,1,32
11.057692527770996,2008,0,1,32
15.384614944458008,2008,0,0,29
11.538461685180664,2008,0,1,33
11.057692527770996,2008,1,0,32
18.75,2008,1,1,33
16.346153259277344,2008,0,0,28
14.423076629638672,2008,0,0,29
8.241758346557617,2008,1,1,28
13.513513565063477,2008,0,0,28
14.423076629638672,2008,1,0,26
7.211538314819336,2008,1,1,30
13.636363983154297,2008,1,0,32
14.423076629638672,2008,0,0,33
10.329669952392578,2008,1,1,25
13.675213813781738,2008,1,1,31
30.769229888916016,2008,0,0,29
17.094017028808594,2008,0,1,25
13.736263275146484,2008,1,1,30
18.076923370361328,2008,1,1,33
5.769230842590332,2008,0,0,34
12.307692527770996,2008,1,1,26
15.865385055541992,2008,0,1,33
11.5,2008,0,0,25
12.019230842590332,2008,0,0,34
9.615385055541992,2008,0,1,31
21.9780216217041,2008,1,0,26
16.153846740722656,2008,0,0,26
17.85714340209961,2008,0,1,34
9.615385055541992,2008,0,0,30
21.634614944458008,2008,0,0,28
40.86538314819336,2008,1,0,34
31.25,2008,1,1,30
31.25,2008,1,1,25
19.230770111083984,2008,0,0,28
17.788461685180664,2008,1,0,27
19.230770111083984,2008,0,0,31
28.846153259277344,2008,0,0,33
49.03845977783203,2008,1,1,31
51.92307662963867,2008,1,1,31
36.05769348144531,2008,1,0,31
20.19230842590332,2008,1,1,33
28.846153259277344,2008,1,0,25
53.07692337036133,2008,1,0,32
28.846153259277344,2008,1,1,25
29.326923370361328,2008,1,0,34
5.769230842590332,2008,0,1,31
20.673076629638672,2008,1,0,30
12.019230842590332,2008,1,0,32
11.057692527770996,2008,1,1,27
11.11111068725586,2008,0,1,33
11,2008,0,0,33
25.961538314819336,2008,1,0,33
16.4165096282959,2008,1,0,28
14.95726490020752,2008,0,0,30
24.038461685180664,2008,1,0,34
25.64102554321289,2008,1,0,25
16.941390991210938,2008,1,1,25
19.230770111083984,2008,1,0,26
46.63461685180664,2008,1,0,31
7.211538314819336,2008,1,0,28
23.076923370361328,2008,1,0,32
25,2008,1,1,25
27.884614944458008,2008,0,0,32
26.923076629638672,2008,1,1,31
4.807692527770996,2008,1,0,29
26.22377586364746,2008,0,0,29
15.865385055541992,2008,1,1,30
18.429487228393555,2008,1,0,25
28.846153259277344,2008,0,0,31
21.634614944458008,2008,0,1,29
15.384614944458008,2008,1,1,28
13.22115421295166,2008,0,1,30
13.354701042175293,2008,1,1,31
8.25,2008,0,1,33
14.553014755249023,2008,0,1,30
30.288461685180664,2008,1,0,28
19.230770111083984,2008,1,1,29
17.94871711730957,2008,0,0,33
26.44230842590332,2008,0,0,34
43.269229888916016,2008,1,0,33
24.038461685180664,2008,0,0,34
19.230770111083984,2008,1,1,32
10.439560890197754,2008,0,1,30
23.076923370361328,2008,0,0,32
14.423076629638672,2008,0,0,27
20.673076629638672,2008,0,1,27
23.809524536132812,2008,1,0,34
21.634614944458008,2008,0,0,27
12.019230842590332,2008,0,1,26
8.547008514404297,2008,0,1,33
11.1336030960083,2008,0,1,32
12.019230842590332,2008,1,1,25
13.636363983154297,2008,1,0,31
17.788461685180664,2008,0,1,32
20.673076629638672,2008,0,1,25
15,2008,1,0,33
14.423076629638672,2008,1,1,32
21.634614944458008,2008,0,0,33
5.288461685180664,2008,0,0,33
22.596153259277344,2008,1,1,34
18.269229888916016,2008,0,0,31
17.30769157409668,2008,1,1,34
17.671518325805664,2008,1,1,27
20.19230842590332,2008,1,0,28
15.734265327453613,2008,0,0,29
9.615385055541992,2008,0,1,34
10.576923370361328,2008,0,0,32
4.32692289352417,2008,0,1,29
5.769230842590332,2008,0,1,30
10.09615421295166,2008,1,0,28
21.14285659790039,2008,0,0,26
14.19413948059082,2008,0,0,26
13.562752723693848,2008,1,1,26
16.66666603088379,2008,0,0,33
15,2008,1,0,26
16.875,2008,1,1,25
19.230770111083984,2008,1,1,33
10.576923370361328,2008,0,0,28
14.529914855957031,2008,0,0,32
12.745098114013672,2008,0,0,32
28.676469802856445,2008,1,1,32
8,2008,1,1,27
19.951923370361328,2008,0,0,28
9.615385055541992,2008,0,0,33
33.653846740722656,2008,1,1,32
13.461538314819336,2008,0,0,34
9.29487133026123,2008,0,0,28
38.90876388549805,2008,1,1,29
19.230770111083984,2008,1,1,32
14.904808044433594,2008,0,0,32
19.230770111083984,2008,1,0,25
17.69230842590332,2008,1,0,33
17.788461685180664,2008,0,0,32
21.239316940307617,2008,1,0,32
17.094017028808594,2008,1,1,29
17.788461685180664,2008,1,1,34
7.211538314819336,2008,0,0,28
20.512821197509766,2008,1,1,27
14.423076629638672,2008,0,0,34
46.153846740722656,2008,1,0,32
12.019230842590332,2008,1,1,29
8.65384578704834,2008,0,0,25
18.58974266052246,2008,1,0,32
17.094017028808594,2008,1,1,31
14.95726490020752,2008,0,1,30
11.538461685180664,2008,1,1,25
18.846153259277344,2008,1,0,25
13.461538314819336,2008,1,1,26
12.019230842590332,2008,1,1,26
14.423076629638672,2008,0,0,27
31.25,2008,1,1,33
12.980769157409668,2008,0,0,32
8.173076629638672,2008,0,1,30
16.14635467529297,2008,0,0,32
15.874038696289062,2008,0,0,33
10.576923370361328,2008,0,1,26
19.230770111083984,2008,0,1,29
6.655769348144531,2008,0,0,27
17.788461685180664,2008,0,0,31
13.636363983154297,2008,0,0,31
9.790209770202637,2008,0,1,31
10.384614944458008,2008,0,0,25
15.384614944458008,2008,0,1,30
16.826923370361328,2008,0,0,27
19.230770111083984,2008,1,0,32
20.384614944458008,2008,1,1,30
21.153846740722656,2008,1,0,32
21.634614944458008,2008,1,1,32
8.547008514404297,2008,0,0,31
13.464052200317383,2008,0,0,28
14.90384578704834,2008,1,0,32
21.634614944458008,2008,0,0,33
15,2008,0,0,25
11.057692527770996,2008,1,1,32
13,2008,1,0,29
32.69230651855469,2008,0,0,32
13.020833015441895,2008,0,0,26
57.30769348144531,2008,1,0,28
9.615385055541992,2008,0,1,27
9.615385055541992,2008,1,0,26
9.615385055541992,2008,1,0,27
9.615385055541992,2008,1,0,25
9.615385055541992,2008,1,0,25
23.5,2008,0,1,34
12.019230842590332,2008,0,0,29
18.269229888916016,2008,0,0,27
38.46154022216797,2008,1,0,34
11,2008,1,1,30
26.44230842590332,2008,1,0,30
9.615385055541992,2008,1,0,29
23.785425186157227,2008,1,0,29
8.65384578704834,2008,0,1,28
11.600000381469727,2008,0,0,31
17.30769157409668,2008,1,1,25
9.615385055541992,2008,1,0,25
10,2008,0,0,25
24.038461685180664,2008,1,1,26
30.288461685180664,2008,1,0,28
52,2008,0,0,33
32.905982971191406,2008,1,1,28
28.846153259277344,2008,1,1,27
3.5256409645080566,2008,0,0,29
24.5720272064209,2008,1,0,29
26.923076629638672,2008,1,1,30
45.54655838012695,2008,0,1,25
5.769230842590332,2008,0,1,32
20.879121780395508,2008,1,1,33
15.384614944458008,2008,0,1,31
29.91452980041504,2008,0,0,29
24.038461685180664,2008,1,1,28
29.059829711914062,2008,1,0,33
42.30769348144531,2008,1,0,33
60.096153259277344,2008,1,0,33
28.846153259277344,2008,0,0,30
25.64102554321289,2008,1,0,27
40.86538314819336,2008,1,1,26
20.673076629638672,2008,1,1,27
19.230770111083984,2008,0,0,26
21.678321838378906,2008,1,0,30
19.230770111083984,2008,0,0,29
15.734265327453613,2008,1,1,28
19.711538314819336,2008,1,0,27
28.846153259277344,2008,1,1,28
12.019230842590332,2008,1,1,28
8.173076629638672,2008,1,0,28
48.07692337036133,2008,1,0,25
7.591093063354492,2008,0,0,25
10.09615421295166,2008,0,1,26
27.403846740722656,2008,1,0,25
14.615385055541992,2008,1,0,30
27.47252655029297,2008,1,1,26
62.5,2008,1,0,33
12.019230842590332,2008,0,0,28
27.77777862548828,2008,1,1,25
57.69230651855469,2008,1,1,31
48.07692337036133,2008,1,0,32
10.483870506286621,2008,1,1,27
8.333333015441895,2008,0,0,28
6.153846263885498,2008,0,1,26
12.857142448425293,2008,0,1,26
12.857142448425293,2008,0,0,25
26.44230842590332,2008,1,0,29
21.634614944458008,2008,0,1,34
32.0512809753418,2008,1,1,27
19.711538314819336,2008,1,0,25
11.25,2008,0,1,27
26.923076629638672,2008,0,0,30
12.5,2008,0,0,27
28.84711456298828,2008,1,1,34
17.94871711730957,2008,1,1,32
21.914133071899414,2008,1,1,30
14.423076629638672,2008,0,0,34
12.019230842590332,2008,0,0,28
21.538461685180664,2008,1,0,30
10.88888931274414,2008,1,1,30
23.076923370361328,2008,1,1,30
31.25,2008,1,1,30
52.88461685180664,2008,1,1,34
23.076923370361328,2008,1,1,33
50.480770111083984,2008,1,1,32
18.028846740722656,2008,1,0,31
19.230770111083984,2008,0,1,28
8.854166984558105,2008,0,0,31
21.634614944458008,2008,0,0,34
14.814814567565918,2008,0,0,33
25.480770111083984,2008,1,1,32
36.05769348144531,2008,1,0,31
